,Symbol,Company Name,Industry,Market Cap
239,ALGN,Align Technology,Health Care Equipment & Supplies,52.68B
240,ALGS,Aligos Therapeutics,Biotechnology,507.13M
241,ALGT,Allegiant Travel Company,Airlines,3.35B
242,ALHC,Alignment Healthcare,Health Care Providers & Services,2.57B
243,ALIM,Alimera Sciences,Pharmaceuticals,32.26M
244,ALIT,Alight,Software-Application,4.76B
245,ALJJ,ALJ Regional Holdings,IT Services,51.63M
246,ALK,Alaska Air Group,Airlines,6.47B
247,ALKS,Alkermes,Biotechnology,3.53B
248,ALKT,Alkami Technology,Software-Application,1.94B
249,ALL,The Allstate Corporation,Insurance,30.97B
250,ALLE,Allegion,Building Products,11.76B
251,ALLK,Allakos,Biotechnology,3.95B
252,ALLO,Allogene Therapeutics,Biotechnology,2.57B
253,ALLT,Allot,Software,424.49M
254,ALLY,Ally Financial,Consumer Finance,16.85B
255,ALNA,Allena Pharmaceuticals,Biotechnology,51.92M
256,ALNY,Alnylam Pharmaceuticals,Biotechnology,20.77B
257,ALOT,AstroNova,"Technology Hardware, Storage & Periph...",107.29M
258,ALPA,Alpha Healthcare Acquisition III,Blank Check / SPAC,187.63M
259,ALPN,Alpine Immune Sciences,Biotechnology,373.43M
260,ALPP,Alpine 4 Holdings,Metal Fabrication,456.42M
261,ALRM,Alarm.com Holdings,Software,4.01B
262,ALRN,Aileron Therapeutics,Biotechnology,53.10M
263,ALRS,Alerus Financial,Diversified Financial Services,512.29M
264,ALSN,Allison Transmission Holdings,Machinery,3.64B
265,ALT,Altimmune,Biotechnology,374.34M
266,ALTG,Alta Equipment Group,Trading Companies & Distributors,441.11M
267,ALTM,Altus Midstream Company,"Oil, Gas & Consumable Fuels",236.93M
268,ALTO,Alto Ingredients,"Oil, Gas & Consumable Fuels",360.36M
269,ALTR,Altair Engineering,Software,5.76B
270,ALTU,Altitude Acquisition,Blank Check / SPAC,369.75M
271,ALV,Autoliv,Auto Components,9.02B
272,ALVR,AlloVir,Biotechnology,1.15B
273,ALX,Alexander's,Equity Real Estate Investment Trusts...,1.32B
274,ALXO,ALX Oncology Holdings,Biotechnology,1.26B
275,ALYA,Alithya Group,IT Services,212.06M
276,ALZN,Alzamend Neuro,Biotechnology,191.15M
277,AM,Antero Midstream,"Oil, Gas & Consumable Fuels",4.56B
278,AMAL,Amalgamated Financial,Banks,519.32M
279,AMAM,Ambrx Biopharma,Biotechnology,320.54M
280,AMAO,American Acquisition Opportunity,Blank Check / SPAC,134.81M
281,AMAT,Applied Materials,Semiconductors & Semiconductor Equipment,137.90B
