Holdings details

Total Stock Market ETF (VTI)


Equity,as of 06/30/2021

,SEDOL,HOLDINGS,TICKER,% OF FUNDS*,SECTOR,COUNTRY,SECURITY DEPOSITORY RECEIPT TYPE,MARKET VALUE*,SHARES
,2578516,Meredith Corp.,MDP,<0.01%,Publishing,US,---,"$47,528,790.00","1,094,125"
,BZ12TX5,Adtalem Global Education Inc.,ATGE,<0.01%,Education Services,US,---,"$47,435,556.96","1,330,964"
,2021634,Alamo Group Inc.,ALG,<0.01%,Construction Machinery & Heavy Trucks,US,---,"$47,292,630.00","309,750"
,2389558,Bottomline Technologies DE Inc.,EPAY,<0.01%,Application Software,US,---,"$47,230,575.84","1,273,748"
,BYN87K7,Hope Bancorp Inc.,HOPE,<0.01%,Regional Banks,US,---,"$47,169,316.24","3,326,468"
,B4RGHN0,First Interstate BancSystem Inc.,FIBK,<0.01%,Regional Banks,US,---,"$47,133,291.06","1,126,782"
,BD3FZ18,Bandwidth Inc.,BAND,<0.01%,Alternative Carriers,US,---,"$47,120,919.68","341,654"
,BRCYYB7,Veritex Holdings Inc.,VBTX,<0.01%,Regional Banks,US,---,"$46,774,449.99","1,320,939"
,BFWCP81,ADT Inc.,ADT,<0.01%,Security & Alarm Services,US,---,"$46,674,928.82","4,325,758"
,2572109,Luminex Corp.,LMNX,<0.01%,Life Sciences Tools & Services,US,---,"$46,635,646.40","1,267,273"
,B17HG57,Cardiovascular Systems Inc.,CSII,<0.01%,Health Care Equipment,US,---,"$46,631,505.45","1,093,353"
,B523Z73,Northwest Bancshares Inc.,NWBI,<0.01%,Thrifts & Mortgage Finance,US,---,"$46,524,184.96","3,410,864"
,BD3WG50,Acushnet Holdings Corp.,GOLF,<0.01%,Leisure Products,US,---,"$46,349,056.00","938,240"
,2730781,CBIZ Inc.,CBZ,<0.01%,Research & Consulting Services,US,---,"$46,215,760.39","1,410,307"
,2673154,Patrick Industries Inc.,PATK,<0.01%,Auto Parts & Equipment,US,---,"$46,161,915.00","632,355"
,BYLY8H1,Evolent Health Inc.,EVH,<0.01%,Health Care Technology,US,---,"$46,099,680.00","2,182,750"
,2799351,Sinclair Broadcast Group Inc.,SBGI,<0.01%,Broadcasting,US,---,"$45,718,427.04","1,376,232"
,BMF7JD5,McAfee Corp.,MCFE,<0.01%,Systems Software,US,---,"$45,648,418.74","1,629,137"
,2412700,Harsco Corp.,HSC,<0.01%,Environmental & Facilities Services,US,---,"$45,599,309.82","2,233,071"
,2171603,Provident Financial Services Inc.,PFS,<0.01%,Thrifts & Mortgage Finance,US,---,"$45,583,832.70","1,991,430"
,BMGS8C9,Desktop Metal Inc.,DM,<0.01%,Industrial Machinery,US,---,"$45,579,962.50","3,963,475"
,BH3T5K7,Enerpac Tool Group Corp.,EPAC,<0.01%,Industrial Machinery,US,---,"$45,555,844.18","1,711,339"
,BLFBYZ7,Danimer Scientific Inc.,DNMR,<0.01%,Specialty Chemicals,US,---,"$45,545,985.15","1,818,203"
,BFNR303,Northwest Natural Holding Co.,NWN,<0.01%,Gas Utilities,US,---,"$45,541,930.20","867,135"
,BJH08B2,BioLife Solutions Inc.,BLFS,<0.01%,Health Care Supplies,US,---,"$45,530,970.38","1,022,938"
,2931595,Unisys Corp.,UIS,<0.01%,IT Consulting & Other Services,US,---,"$45,280,754.26","1,789,046"
,B3NTLD4,American Assets Trust Inc.,AAT,<0.01%,Diversified REITs,US,---,"$45,207,897.57","1,212,333"
,B1P36Y6,Central Garden & Pet Co.,CENTA,<0.01%,Household Products,US,---,"$44,953,099.80","930,706"
,BK71M09,Ocugen Inc.,OCGN,<0.01%,Biotechnology,US,---,"$44,935,125.18","5,595,906"
,2856289,Sturm Ruger & Co. Inc.,RGR,<0.01%,Leisure Products,US,---,"$44,718,260.40","496,980"
,BKV9674,Reynolds Consumer Products Inc.,REYN,<0.01%,Household Products,US,---,"$44,654,076.40","1,471,304"
,BJ0XLZ3,Heron Therapeutics Inc.,HRTX,<0.01%,Biotechnology,US,---,"$44,594,655.84","2,873,367"
,2512600,Tenneco Inc.,TEN,<0.01%,Auto Parts & Equipment,US,---,"$44,583,411.60","2,307,630"
,2692030,Plantronics Inc.,POLY,<0.01%,Communications Equipment,US,---,"$44,446,372.62","1,065,094"
,2665300,Oxford Industries Inc.,OXM,<0.01%,"Apparel, Accessories & Luxury Goods",US,---,"$44,423,044.96","449,444"
,BM8MM05,Madison Square Garden Entertainment Corp.,MSGE,<0.01%,Movies & Entertainment,US,---,"$44,384,190.84","528,572"
,2768663,St. Joe Co.,JOE,<0.01%,Diversified Real Estate Activites,US,---,"$44,269,358.04","992,364"
,BN4LSB6,Allegro MicroSystems Inc.,ALGM,<0.01%,Semiconductors,US,---,"$44,186,984.60","1,595,198"
,B1FP363,ICF International Inc.,ICFI,<0.01%,Research & Consulting Services,US,---,"$44,107,213.62","502,017"
,BKLCWZ3,Castle Biosciences Inc.,CSTL,<0.01%,Health Care Services,US,---,"$44,003,426.42","600,074"
,B72ZBG4,Supernus Pharmaceuticals Inc.,SUPN,<0.01%,Pharmaceuticals,US,---,"$43,972,800.08","1,428,152"
,BYNWB63,PJT Partners Inc.,PJT,<0.01%,Investment Banking & Brokerage,US,---,"$43,937,031.06","615,537"
,B3KWJV0,Capitol Federal Financial Inc.,CFFN,<0.01%,Thrifts & Mortgage Finance,US,---,"$43,899,006.38","3,726,571"
,2420316,Meta Financial Group Inc.,CASH,<0.01%,Thrifts & Mortgage Finance,US,---,"$43,865,477.59","866,393"
,2078782,BancFirst Corp.,BANF,<0.01%,Regional Banks,US,---,"$43,862,256.69","702,583"
,2149622,Materion Corp.,MTRN,<0.01%,Diversified Metals & Mining,US,---,"$43,684,916.00","579,760"
,BFMZ4W7,Avid Bioservices Inc.,CDMO,<0.01%,Biotechnology,US,---,"$43,532,692.65","1,697,181"
,2655583,Oceaneering International Inc.,OII,<0.01%,Oil & Gas Equipment & Services,US,---,"$43,472,856.87","2,792,091"
,2437112,Horace Mann Educators Corp.,HMN,<0.01%,Multi-line Insurance,US,---,"$43,424,675.14","1,160,467"
,BYNQNP8,Seres Therapeutics Inc.,MCRB,<0.01%,Biotechnology,US,---,"$43,313,317.20","1,816,072"
,BFDV8K0,MacroGenics Inc.,MGNX,<0.01%,Biotechnology,US,---,"$43,140,732.38","1,606,133"
,BD8ZJW2,Yext Inc.,YEXT,<0.01%,Application Software,US,---,"$43,067,559.25","3,013,825"
,BYTYP72,Anavex Life Sciences Corp.,AVXL,<0.01%,Biotechnology,US,---,"$42,964,135.56","1,879,446"
,B1VQR35,Super Micro Computer Inc.,SMCI,<0.01%,"Technology Hardware, Storage & Periphera",US,---,"$42,804,385.50","1,216,725"
,2498788,LTC Properties Inc.,LTC,<0.01%,Health Care REITs,US,---,"$42,802,431.43","1,114,937"
,BJ38KJ2,Malibu Boats Inc.,MBUU,<0.01%,Leisure Products,US,---,"$42,748,456.80","582,960"
,B1JNG19,RadNet Inc.,RDNT,<0.01%,Health Care Services,US,---,"$42,656,896.71","1,266,159"
,BD2B5Y0,Ichor Holdings Ltd.,ICHR,<0.01%,Semiconductor Equipment,US,---,"$42,559,404.60","791,067"
,2626459,NBT Bancorp Inc.,NBTB,<0.01%,Regional Banks,US,---,"$42,503,195.13","1,181,629"
,BMC8SQ7,BTRS Holdings Inc.,BTRS,<0.01%,Application Software,US,---,"$42,459,863.80","3,364,490"
,2848736,Stewart Information Services Corp.,STC,<0.01%,Property & Casualty Insurance,US,---,"$42,351,284.92","747,068"
,2115902,OPKO Health Inc.,OPK,<0.01%,Biotechnology,US,---,"$42,337,642.95","10,453,739"
,BYWFGP7,Purple Innovation Inc.,PRPL,<0.01%,Home Furnishings,US,---,"$42,213,744.00","1,598,400"
,B1GC200,Primoris Services Corp.,PRIM,<0.01%,Construction & Engineering,US,---,"$42,186,610.08","1,433,456"
,BYMYT66,Laureate Education Inc.,LAUR,<0.01%,Education Services,US,---,"$42,102,535.22","2,901,622"
,BZ1LFB2,Deciphera Pharmaceuticals Inc.,DCPH,<0.01%,Biotechnology,US,---,"$42,021,397.32","1,147,812"
,BNQS7K7,Clover Health Investments Corp.,CLOV,<0.01%,Managed Health Care,US,---,"$41,968,269.72","3,150,771"
,BNGJQZ8,Porch Group Inc.,PRCH,<0.01%,Internet & Direct Marketing Retail,US,---,"$41,953,295.00","2,169,250"
,2443078,Encore Capital Group Inc.,ECPG,<0.01%,Consumer Finance,US,---,"$41,907,593.07","884,313"
,B7F4TJ7,PBF Energy Inc.,PBF,<0.01%,Oil & Gas Refining & Marketing,US,---,"$41,774,645.70","2,730,369"
,BGHVXJ7,Silk Road Medical Inc.,SILK,<0.01%,Health Care Supplies,US,---,"$41,734,398.60","872,010"
,2911166,US Physical Therapy Inc.,USPH,<0.01%,Health Care Facilities,US,---,"$41,711,925.43","359,989"
,2950374,Westamerica BanCorp,WABC,<0.01%,Regional Banks,US,---,"$41,663,625.01","717,967"
,2273446,Encore Wire Corp.,WIRE,<0.01%,Electrical Components & Equipment,US,---,"$41,550,503.28","548,232"
,2149934,Buckle Inc.,BKE,<0.01%,Apparel Retail,US,---,"$41,467,520.50","833,518"
,BYWLZL4,Blink Charging Co.,BLNK,<0.01%,Automotive Retail,US,---,"$41,452,920.24","1,006,872"
,BFZP4R9,nLight Inc.,LASR,<0.01%,Electronic Equipment & Instruments,US,---,"$41,441,990.96","1,142,282"
,2690506,Pitney Bowes Inc.,PBI,<0.01%,Office Services & Supplies,US,---,"$41,345,226.61","4,714,393"
,B0PZN33,Brookdale Senior Living Inc.,BKD,<0.01%,Health Care Facilities,US,---,"$41,222,500.20","5,218,038"
,2210885,CSG Systems International Inc.,CSGS,<0.01%,Data Processing & Outsourced Services,US,---,"$41,157,897.62","872,359"
,BDCWFT8,Liberty Oilfield Services Inc.,LBRT,<0.01%,Oil & Gas Equipment & Services,US,---,"$41,043,694.56","2,898,566"
,2428376,Hibbett Inc.,HIBB,<0.01%,Specialty Stores,US,---,"$41,006,979.82","457,514"
,2537528,Lakeland Financial Corp.,LKFN,<0.01%,Regional Banks,US,---,"$40,985,853.72","664,923"
,2242929,Amkor Technology Inc.,AMKR,<0.01%,Semiconductor Equipment,US,---,"$40,948,105.86","1,729,958"
,BF5P189,Delek US Holdings Inc.,DK,<0.01%,Oil & Gas Refining & Marketing,US,---,"$40,885,927.92","1,891,116"
,BJSVLL5,Inogen Inc.,INGN,<0.01%,Health Care Equipment,US,---,"$40,879,511.75","627,275"
,2259190,iStar Inc.,STAR,<0.01%,Diversified REITs,US,---,"$40,833,497.94","1,969,778"
,2456957,Dine Brands Global Inc.,DIN,<0.01%,Restaurants,US,---,"$40,770,738.75","456,815"
,B1G0F83,eHealth Inc.,EHTH,<0.01%,Insurance Brokers,US,---,"$40,752,571.20","697,818"
,2635659,TTM Technologies Inc.,TTMI,<0.01%,Electronic Manufacturing Services,US,---,"$40,698,343.40","2,846,038"
,BYXGJD8,Bonanza Creek Energy Inc.,BCEI,<0.01%,Oil & Gas Exploration & Production,US,---,"$40,687,025.58","864,394"
,2158781,Cal-Maine Foods Inc.,CALM,<0.01%,Packaged Foods & Meats,US,---,"$40,680,631.44","1,123,464"
,2883641,Tennant Co.,TNC,<0.01%,Industrial Machinery,US,---,"$40,515,730.30","507,398"
,B3CLS18,MYR Group Inc.,MYRG,<0.01%,Construction & Engineering,US,---,"$40,375,026.24","444,072"
,BD3DWD3,Tellurian Inc.,TELL,<0.01%,Oil & Gas Exploration & Production,US,---,"$40,312,179.90","8,669,286"
,BZ0G875,REGENXBIO Inc.,RGNX,<0.01%,Biotechnology,US,---,"$40,224,435.30","1,035,378"
,BL989M6,Utz Brands Inc.,UTZ,<0.01%,Packaged Foods & Meats,US,---,"$40,221,790.57","1,845,883"
,B11FJD6,Green Plains Inc.,GPRE,<0.01%,Oil & Gas Refining & Marketing,US,---,"$40,117,871.88","1,193,274"
,BD72R64,Liberty Media Corp-Liberty Formula One,FWONA,<0.01%,Cable & Satellite,US,---,"$40,108,648.65","940,855"
,BF5L3R0,Eventbrite Inc.,EB,<0.01%,Interactive Media & Services,US,---,"$40,014,741.00","2,106,039"
,BKS48R6,SiTime Corp.,SITM,<0.01%,Semiconductors,US,---,"$39,970,539.32","315,748"
,BMH7568,Canoo Inc.,GOEV,<0.01%,Automobile Manufacturers,US,---,"$39,904,706.52","4,014,558"
,BKWFTW7,Hydrofarm Holdings Group Inc.,HYFM,<0.01%,Agricultural & Farm Machinery,US,---,"$39,808,752.59","673,469"
,BYVLR75,Office Properties Income Trust,OPI,<0.01%,Office REITs,US,---,"$39,583,213.62","1,350,502"
,BLTFST7,ArcBest Corp.,ARCB,<0.01%,Trucking,US,---,"$39,509,497.06","678,974"
,BGCBBK9,Houghton Mifflin Harcourt Co.,HMHC,<0.01%,Education Services,US,---,"$39,483,897.60","3,576,440"
,2407052,Extreme Networks Inc.,EXTR,<0.01%,Communications Equipment,US,---,"$39,479,136.12","3,537,557"
,B55BN47,Addus HomeCare Corp.,ADUS,<0.01%,Health Care Services,US,---,"$39,457,954.08","452,292"
,BMNQC35,GoPro Inc.,GPRO,<0.01%,Consumer Electronics,US,---,"$39,154,752.95","3,360,923"
,2030674,American Woodmark Corp.,AMWD,<0.01%,Building Products,US,---,"$39,111,946.65","478,785"
,BJBLBN4,Brightsphere Investment Group Inc.,BSIG,<0.01%,Asset Management & Custody Banks,US,---,"$39,111,324.12","1,669,284"
,BJV2ZZ7,XPEL Inc.,XPEL,<0.01%,Auto Parts & Equipment,US,---,"$39,104,639.11","466,253"
,2192314,Mack-Cali Realty Corp.,CLI,<0.01%,Office REITs,US,---,"$39,068,454.60","2,278,044"
,BM9NG38,E2open Parent Holdings Inc.,ETWO,<0.01%,Application Software,US,---,"$39,042,341.98","3,418,769"
,2106661,FARO Technologies Inc.,FARO,<0.01%,Electronic Equipment & Instruments,US,---,"$39,014,953.67","501,671"
,BDZT9Y9,Arcus Biosciences Inc.,RCUS,<0.01%,Biotechnology,US,---,"$38,793,840.40","1,412,740"
,2351546,First Commonwealth Financial Corp.,FCF,<0.01%,Regional Banks,US,---,"$38,696,819.49","2,750,307"
,B5LL2C2,Codexis Inc.,CDXS,<0.01%,Life Sciences Tools & Services,US,---,"$38,592,064.72","1,703,092"
,2060370,Astec Industries Inc.,ASTE,<0.01%,Construction Machinery & Heavy Trucks,US,---,"$38,582,157.06","612,999"
,2483223,Kaman Corp.,KAMN,<0.01%,Aerospace & Defense,US,---,"$38,575,353.60","765,384"
,2938002,Air Transport Services Group Inc.,ATSG,<0.01%,Air Freight & Logistics,US,---,"$38,549,023.50","1,659,450"
,BNQQ6C6,Beauty Health Co.,SKIN,<0.01%,Personal Products,US,---,"$38,455,452.00","2,289,015"
,2573083,Sangamo Therapeutics Inc.,SGMO,<0.01%,Biotechnology,US,---,"$38,425,507.47","3,210,151"
,2730877,Redwood Trust Inc.,RWT,<0.01%,Mortgage REITs,US,---,"$38,424,845.00","3,183,500"
,2463344,Griffon Corp.,GFF,<0.01%,Building Products,US,---,"$38,403,223.10","1,498,370"
,2369721,G-III Apparel Group Ltd.,GIII,<0.01%,"Apparel, Accessories & Luxury Goods",US,---,"$38,401,576.12","1,168,642"
,BGDLVV9,Gevo Inc.,GEVO,<0.01%,Oil & Gas Refining & Marketing,US,---,"$38,348,922.85","5,274,955"
,BMD22Y4,Doximity Inc.,DOCS,<0.01%,Health Care Technology,US,---,"$38,309,218.80","658,234"
,BN0TQD2,Marqeta Inc.,MQ,<0.01%,Data Processing & Outsourced Services,US,---,"$38,250,792.51","1,362,693"
,BBBSBJ5,Cytokinetics Inc.,CYTK,<0.01%,Biotechnology,US,---,"$38,156,584.46","1,928,074"
,2589466,Middlesex Water Co.,MSEX,<0.01%,Water Utilities,US,---,"$38,114,785.50","466,350"
,BYRGSX7,Archrock Inc.,AROC,<0.01%,Oil & Gas Equipment & Services,US,---,"$38,056,089.06","4,271,166"
,BMCQX44,SiriusPoint Ltd.,SPNT,<0.01%,Reinsurance,US,---,"$37,971,855.30","3,770,790"
,BYY5Z69,FB Financial Corp.,FBK,<0.01%,Regional Banks,US,---,"$37,691,184.72","1,009,946"
,2606570,Berkshire Hills Bancorp Inc.,BHLB,<0.01%,Regional Banks,US,---,"$37,512,421.47","1,368,567"
,2065870,Avid Technology Inc.,AVID,<0.01%,"Technology Hardware, Storage & Periphera",US,---,"$37,383,356.25","954,875"
,B1XHRL4,TriMas Corp.,TRS,<0.01%,Industrial Machinery,US,---,"$37,332,074.79","1,230,863"
,B051B48,Knoll Inc.,KNL,<0.01%,Office Services & Supplies,US,---,"$37,241,174.96","1,432,904"
,BYZD465,Kura Oncology Inc.,KURA,<0.01%,Biotechnology,US,---,"$37,234,180.20","1,785,812"
,B1Y1PC2,Clean Energy Fuels Corp.,CLNE,<0.01%,Oil & Gas Refining & Marketing,US,---,"$37,116,093.70","3,656,758"
,BJLV8T9,Celldex Therapeutics Inc.,CLDX,<0.01%,Biotechnology,US,---,"$37,100,977.76","1,109,479"
,BLFDXF6,StepStone Group Inc.,STEP,<0.01%,Asset Management & Custody Banks,US,---,"$37,100,881.60","1,078,514"
,BLNB9R6,Nuvation Bio Inc.,NUVB,<0.01%,Pharmaceuticals,US,---,"$37,097,789.75","3,984,725"
,2457864,ImmunoGen Inc.,IMGN,<0.01%,Biotechnology,US,---,"$37,070,094.36","5,625,204"
,BT8RWQ5,James River Group Holdings Ltd.,JRVR,<0.01%,Property & Casualty Insurance,US,---,"$37,054,864.56","987,603"
,BG1VY34,SolarWinds Corp.,SWI,<0.01%,Systems Software,US,---,"$37,029,956.91","2,192,419"
,2553814,Mesa Laboratories Inc.,MLAB,<0.01%,Health Care Equipment,US,---,"$36,968,606.10","136,330"
,2067672,AZZ Inc.,AZZ,<0.01%,Heavy Electrical Equipment,US,---,"$36,956,680.50","713,725"
,BL3LMX3,Broadmark Realty Capital Inc.,BRMK,<0.01%,Mortgage REITs,US,---,"$36,887,892.84","3,483,276"
,2106791,Children's Place Inc.,PLCE,<0.01%,Apparel Retail,US,---,"$36,863,671.68","396,128"
,BJ367P1,Ladder Capital Corp.,LADR,<0.01%,Mortgage REITs,US,---,"$36,837,595.64","3,192,166"
,BMGH6N3,ZipRecruiter Inc.,ZIP,<0.01%,Interactive Media & Services,US,---,"$36,646,809.08","1,467,046"
,B76LYJ2,Vocera Communications Inc.,VCRA,<0.01%,Health Care Technology,US,---,"$36,609,238.60","918,676"
,B17V2N9,PGT Innovations Inc.,PGTI,<0.01%,Building Products,US,---,"$36,534,982.50","1,572,750"
,2347277,CorVel Corp.,CRVL,<0.01%,Health Care Services,US,---,"$36,480,043.30","271,631"
,BG5NSM3,Evo Payments Inc.,EVOP,<0.01%,Data Processing & Outsourced Services,US,---,"$36,465,478.30","1,314,545"
,2923804,Universal Corp./VA,UVV,<0.01%,Tobacco,US,---,"$36,450,488.43","639,819"
,BZ1LBM5,First Busey Corp.,BUSE,<0.01%,Regional Banks,US,---,"$36,423,683.10","1,477,035"
,B827VB2,Alexander & Baldwin Inc.,ALEX,<0.01%,Diversified REITs,US,---,"$36,372,326.48","1,985,389"
,2768889,Enterprise Financial Services Corp.,EFSC,<0.01%,Regional Banks,US,---,"$36,360,482.00","783,800"
,BD420Q8,Axcelis Technologies Inc.,ACLS,<0.01%,Semiconductor Equipment,US,---,"$36,281,436.62","897,611"
,2001119,AAR Corp.,AIR,<0.01%,Aerospace & Defense,US,---,"$36,248,842.50","935,454"
,BF081J4,MannKind Corp.,MNKD,<0.01%,Biotechnology,US,---,"$36,084,411.85","6,620,993"
,B1GHPM8,Globalstar Inc.,GSAT,<0.01%,Alternative Carriers,US,---,"$36,009,779.14","20,230,213"
,BLD5321,Stride Inc.,LRN,<0.01%,Education Services,US,---,"$35,903,250.81","1,117,437"
,2211071,Columbus McKinnon Corp./NY,CMCO,<0.01%,Industrial Machinery,US,---,"$35,872,325.28","743,622"
,BKX9NQ0,C4 Therapeutics Inc.,CCCC,<0.01%,Biotechnology,US,---,"$35,843,334.56","947,234"
,BKP8WS0,Lordstown Motors Corp.,RIDE,<0.01%,Automobile Manufacturers,US,---,"$35,771,711.92","3,234,332"
,BKPGJQ1,Squarespace Inc.,SQSP,<0.01%,Internet Services & Infrastructure,US,---,"$35,627,523.49","599,689"
,BJ50QH6,Safehold Inc.,SAFE,<0.01%,Specialized REITs,US,---,"$35,622,358.00","453,788"
,2893071,Triumph Group Inc.,TGI,<0.01%,Aerospace & Defense,US,---,"$35,621,338.25","1,716,691"
,BMYGGG5,Shyft Group Inc.,SHYF,<0.01%,Construction Machinery & Heavy Trucks,US,---,"$35,557,232.34","950,474"
,BZ8VC58,CoreCivic Inc.,CXW,<0.01%,Security & Alarm Services,US,---,"$35,375,931.30","3,378,790"
,2782038,Schweitzer-Mauduit International Inc.,SWM,<0.01%,Paper Products,US,---,"$35,346,996.42","875,359"
,BDDQ975,elf Beauty Inc.,ELF,<0.01%,Personal Products,US,---,"$35,340,893.80","1,302,170"
,BWC6PW6,NexPoint Residential Trust Inc.,NXRT,<0.01%,Residential REITs,US,---,"$35,183,241.44","639,928"
,BKBDP79,RealReal Inc.,REAL,<0.01%,Internet & Direct Marketing Retail,US,---,"$35,097,632.96","1,776,196"
,BLN9Z50,Atea Pharmaceuticals Inc.,AVIR,<0.01%,Pharmaceuticals,US,---,"$35,091,274.56","1,633,672"
,2267698,USANA Health Sciences Inc.,USNA,<0.01%,Personal Products,US,---,"$35,087,089.21","342,547"
,BK6V415,BellRing Brands Inc.,BRBR,<0.01%,Personal Products,US,---,"$34,942,344.96","1,114,944"
,2473150,Inter Parfums Inc.,IPAR,<0.01%,Personal Products,US,---,"$34,924,248.00","485,059"
,BYM4Z79,Centennial Resource Development Inc./DE,CDEV,<0.01%,Oil & Gas Exploration & Production,US,---,"$34,864,265.16","5,142,222"
,2612737,ProAssurance Corp.,PRA,<0.01%,Property & Casualty Insurance,US,---,"$34,701,530.50","1,525,342"
,2081133,Boston Private Financial Holdings Inc.,BPFH,<0.01%,Regional Banks,US,---,"$34,603,146.00","2,345,976"
,BP4WT09,Atara Biotherapeutics Inc.,ATRA,<0.01%,Biotechnology,US,---,"$34,524,063.35","2,220,197"
,2387530,Greenbrier Cos. Inc.,GBX,<0.01%,Construction Machinery & Heavy Trucks,US,---,"$34,500,324.90","791,655"
,BF5C2N2,ACM Research Inc.,ACMR,<0.01%,Semiconductor Equipment,US,---,"$34,496,285.62","337,471"
,BNSNZF1,Ouster Inc.,OUST,<0.01%,Electronic Equipment & Instruments,US,---,"$34,348,911.37","2,750,113"
,2116767,Dril-Quip Inc.,DRQ,<0.01%,Oil & Gas Equipment & Services,US,---,"$34,185,417.98","1,010,506"
,BLNN369,Weatherford International plc,WFRD,<0.01%,Oil & Gas Equipment & Services,---,---,"$34,185,369.40","1,878,317"
,2781109,S&T Bancorp Inc.,STBA,<0.01%,Regional Banks,US,---,"$34,165,608.90","1,091,553"
,BD8NBC0,Lions Gate Entertainment Corp.,LGF.A,<0.01%,Movies & Entertainment,US,---,"$34,138,108.80","1,649,184"
,BK4N2K8,US Ecology Inc.,ECOL,<0.01%,Environmental & Facilities Services,US,---,"$34,067,222.00","907,975"
,BLF8447,Hyliion Holdings Corp.,HYLN,<0.01%,Construction Machinery & Heavy Trucks,US,---,"$34,049,769.55","2,922,727"
,BYW8TV3,GCP Applied Technologies Inc.,GCP,<0.01%,Specialty Chemicals,US,---,"$34,017,028.94","1,462,469"
,2485876,Southside Bancshares Inc.,SBSI,<0.01%,Regional Banks,US,---,"$34,014,989.58","889,746"
,2125901,OceanFirst Financial Corp.,OCFC,<0.01%,Regional Banks,US,---,"$33,958,384.04","1,629,481"
,2746982,Kforce Inc.,KFRC,<0.01%,Human Resource & Employment Services,US,---,"$33,926,129.37","539,109"
,BF5ZVB2,NV5 Global Inc.,NVEE,<0.01%,Construction & Engineering,US,---,"$33,912,834.28","358,828"
,BMPRZV5,Kymera Therapeutics Inc.,KYMR,<0.01%,Biotechnology,US,---,"$33,868,714.00","698,324"
,BN46048,Hims & Hers Health Inc.,HIMS,<0.01%,Health Care Services,US,---,"$33,806,730.87","3,104,383"
,BMFQC33,Hayward Holdings Inc.,HAYW,<0.01%,Leisure Products,US,---,"$33,775,052.84","1,298,042"
,2150420,Steelcase Inc.,SCS,<0.01%,Office Services & Supplies,US,---,"$33,767,117.83","2,234,753"
,BMHKZ90,American National Group Inc.,ANAT,<0.01%,Multi-line Insurance,US,---,"$33,758,136.05","227,251"
,BYWLRV8,Conduent Inc.,CNDT,<0.01%,Data Processing & Outsourced Services,US,---,"$33,710,467.50","4,494,729"
,B4M8043,US Concrete Inc.,USCR,<0.01%,Construction Materials,US,---,"$33,523,871.40","454,253"
,2821298,Schnitzer Steel Industries Inc.,SCHN,<0.01%,Steel,US,---,"$33,475,938.30","682,486"
,2840174,Standex International Corp.,SXI,<0.01%,Industrial Machinery,US,---,"$33,388,863.45","351,795"
,BRYQ4L1,Enova International Inc.,ENVA,<0.01%,Consumer Finance,US,---,"$33,317,940.04","973,924"
,2408044,Hawaiian Holdings Inc.,HA,<0.01%,Airlines,US,---,"$33,034,850.98","1,355,554"
,B1Q1RR9,Employers Holdings Inc.,EIG,<0.01%,Property & Casualty Insurance,US,---,"$33,014,807.20","771,374"
,B87LKR8,OFG Bancorp,OFG,<0.01%,Regional Banks,US,---,"$32,835,414.64","1,484,422"
,2698146,Getty Realty Corp.,GTY,<0.01%,Retail REITs,US,---,"$32,765,127.50","1,051,850"
,BMXXBD9,Figs Inc.,FIGS,<0.01%,Health Care Supplies,US,---,"$32,698,917.30","652,673"
,BM9FJ13,Recursion Pharmaceuticals Inc.,RXRX,<0.01%,Biotechnology,US,---,"$32,602,055.50","893,207"
,BYQNYR5,Senseonics Holdings Inc.,SENS,<0.01%,Health Care Supplies,US,---,"$32,481,296.64","8,458,671"
,2351494,First Bancorp/Southern Pines NC,FBNC,<0.01%,Regional Banks,US,---,"$32,442,775.48","793,028"
,2597748,ePlus Inc.,PLUS,<0.01%,Technology Distributors,US,---,"$32,404,635.31","373,799"
,2118707,Fresh Del Monte Produce Inc.,FDP,<0.01%,Agricultural Products,US,---,"$32,230,488.48","980,246"
,2161778,City Holding Co.,CHCO,<0.01%,Regional Banks,US,---,"$32,202,720.00","428,000"
,BYVN953,Schneider National Inc.,SNDR,<0.01%,Trucking,US,---,"$32,189,143.77","1,478,601"
,BKT6B49,Ping Identity Holding Corp.,PING,<0.01%,Systems Software,US,---,"$32,134,470.80","1,403,252"
,B94Z434,Model N Inc.,MODN,<0.01%,Application Software,US,---,"$32,102,491.04","936,752"
,2958538,Safety Insurance Group Inc.,SAFT,<0.01%,Property & Casualty Insurance,US,---,"$32,083,919.08","409,861"
,2967675,Brookline Bancorp Inc.,BRKL,<0.01%,Regional Banks,US,---,"$32,074,103.75","2,145,425"
,B12W3P6,Vanda Pharmaceuticals Inc.,VNDA,<0.01%,Biotechnology,US,---,"$32,067,151.02","1,490,802"
,B0PPHS6,AMERISAFE Inc.,AMSF,<0.01%,Property & Casualty Insurance,US,---,"$32,039,264.09","536,761"
,BK8M4J4,Morphic Holding Inc.,MORF,<0.01%,Biotechnology,US,---,"$32,029,301.61","558,099"
,BLBCYD2,Laredo Petroleum Inc.,LPI,<0.01%,Oil & Gas Exploration & Production,US,---,"$32,023,684.80","345,120"
,B888DV3,National Bank Holdings Corp.,NBHC,<0.01%,Regional Banks,US,---,"$32,020,087.86","848,439"
,2938422,Veeco Instruments Inc.,VECO,<0.01%,Semiconductor Equipment,US,---,"$32,003,033.64","1,331,241"
,BLDDYL1,Telos Corp.,TLS,<0.01%,Systems Software,US,---,"$31,979,092.85","940,285"
