Holdings details

Total Stock Market ETF (VTI)


Equity,as of 06/30/2021

,SEDOL,HOLDINGS,TICKER,% OF FUNDS*,SECTOR,COUNTRY,SECURITY DEPOSITORY RECEIPT TYPE,MARKET VALUE*,SHARES
,BYNZGK1,Square Inc.,SQ,0.21%,Data Processing & Outsourced Services,US,---,"$2,699,790,002.00","11,073,790"
,2588184,Micron Technology Inc.,MU,0.21%,Semiconductors,US,---,"$2,692,121,785.50","31,679,475"
,BSPHGL4,Anthem Inc.,ANTM,0.21%,Managed Health Care,US,---,"$2,640,543,690.20","6,916,039"
,2502247,Lam Research Corp.,LRCX,0.21%,Semiconductor Equipment,US,---,"$2,621,759,445.90","4,029,137"
,BDRXDB4,Booking Holdings Inc.,BKNG,0.20%,"Hotels, Resorts & Cruise Lines",US,---,"$2,537,376,994.79","1,159,631"
,2522096,Lockheed Martin Corp.,LMT,0.20%,Aerospace & Defense,US,---,"$2,524,342,876.30","6,671,978"
,BZ6VT82,Charter Communications Inc.,CHTR,0.20%,Cable & Satellite,US,---,"$2,499,277,390.90","3,464,242"
,B95WG16,Zoetis Inc.,ZTS,0.20%,Pharmaceuticals,US,---,"$2,499,273,214.56","13,410,996"
,B44WZD7,Prologis Inc.,PLD,0.20%,Industrial REITs,US,---,"$2,498,206,045.79","20,900,243"
,2692632,Altria Group Inc.,MO,0.20%,Tobacco,US,---,"$2,492,747,352.00","52,280,775"
,2769796,Fidelity National Information Services Inc.,FIS,0.20%,Data Processing & Outsourced Services,US,---,"$2,481,600,805.90","17,516,770"
,B8CKK03,Mondelez International Inc.,MDLZ,0.20%,Packaged Foods & Meats,US,---,"$2,477,404,406.40","39,676,560"
,2369174,Gilead Sciences Inc.,GILD,0.19%,Biotechnology,US,---,"$2,439,414,390.60","35,425,710"
,2065308,Automatic Data Processing Inc.,ADP,0.19%,Data Processing & Outsourced Services,US,---,"$2,385,356,683.00","12,009,650"
,BTGQCX1,Crown Castle International Corp.,CCI,0.19%,Specialized REITs,US,---,"$2,382,578,173.70","12,212,087"
,2853688,Stryker Corp.,SYK,0.19%,Health Care Equipment,US,---,"$2,349,268,239.20","9,045,040"
,2685717,ConocoPhillips,COP,0.18%,Oil & Gas Exploration & Production,US,---,"$2,321,511,227.70","38,120,053"
,BHJ0775,Cigna Corp.,CI,0.18%,Health Care Services,US,---,"$2,297,981,859.41","9,693,263"
,B94Q9V0,T-Mobile US Inc.,TMUS,0.18%,Wireless Telecommunication Services,US,---,"$2,295,591,562.67","15,850,249"
,2692665,PNC Financial Services Group Inc.,PNC,0.18%,Regional Banks,US,---,"$2,289,226,444.08","12,000,558"
,BGSXTS3,Moderna Inc.,MRNA,0.18%,Biotechnology,US,---,"$2,265,178,062.48","9,639,876"
,BD8DJ71,Snap Inc.,SNAP,0.17%,Interactive Media & Services,US,---,"$2,196,744,813.58","32,238,697"
,BGSP7M9,Zoom Video Communications Inc.,ZM,0.17%,Application Software,US,---,"$2,195,293,375.59","5,672,153"
,B665KZ5,General Motors Co.,GM,0.17%,Automobile Manufacturers,US,---,"$2,182,145,814.20","36,879,260"
,2989301,TJX Cos. Inc.,TJX,0.17%,Apparel Retail,US,---,"$2,181,659,354.02","32,359,231"
,2736035,US Bancorp,USB,0.17%,Diversified Banks,US,---,"$2,157,351,354.00","37,868,200"
,2965839,CME Group Inc.,CME,0.17%,Financial Exchanges & Data,US,---,"$2,157,347,228.40","10,143,630"
,B7VD3F2,Duke Energy Corp.,DUK,0.17%,Electric Utilities,US,---,"$2,144,955,384.96","21,727,668"
,BKP7287,Truist Financial Corp.,TFC,0.17%,Regional Banks,US,---,"$2,108,333,944.50","37,987,999"
,2575818,Activision Blizzard Inc.,ATVI,0.17%,Interactive Home Entertainment,US,---,"$2,095,055,645.68","21,951,547"
,2160753,CSX Corp.,CSX,0.16%,Railroads,US,---,"$2,058,745,067.60","64,175,345"
